# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

ConfigEntry	ConfigEntry	fuzzer_command_generator.c	91	2	sds:value; ConfigValueType:type	TODO(architect): assign canonical Rust type
FuzzerContext		fuzzer_command_generator.c	97	9	CommandEntry *:commandRegistry; size_t:commandRegistrySize; CommandEntry *:subscribeCommandRegistry; size_t:subscribeCommandRegistrySize; dict *:configDict; ...	TODO(architect): assign canonical Rust type
FuzzerClientCtx	FuzzerClientCtx	fuzzer_command_generator.c	109	7	int:in_multiexec; int:in_subscribe_mode; int:subscribe_type; int:in_lua_script; sds:current_slot_tag; ...	TODO(architect): assign canonical Rust type
FuzzerCommand	FuzzerCommand	fuzzer_command_generator.h	7	3	sds *:argv; int:argc; int:size	TODO(architect): assign canonical Rust type
geoPoint	geoPoint	geo.h	10	5	double:longitude; double:latitude; double:dist; double:score; char *:member	TODO(architect): assign canonical Rust type
geoArray	geoArray	geo.h	18	4	struct geoPoint *:array; size_t:buckets; size_t:used; struct geoPoint:arraybuf	TODO(architect): assign canonical Rust type
GeoHashBits		geohash.h	65	2	uint64_t:bits; uint8_t:step	TODO(architect): assign canonical Rust type
GeoHashRange		geohash.h	70	2	double:min; double:max	TODO(architect): assign canonical Rust type
GeoHashArea		geohash.h	75	3	GeoHashBits:hash; GeoHashRange:longitude; GeoHashRange:latitude	TODO(architect): assign canonical Rust type
GeoHashNeighbors		geohash.h	81	8	GeoHashBits:north; GeoHashBits:east; GeoHashBits:west; GeoHashBits:south; GeoHashBits:north_east; ...	TODO(architect): assign canonical Rust type
GeoHashRadius		geohash_helper.h	44	3	GeoHashBits:hash; GeoHashArea:area; GeoHashNeighbors:neighbors	TODO(architect): assign canonical Rust type
bucket	hashtableBucket	hashtable.c	293	4	BUCKET_BITS_TYPE:chained; BUCKET_BITS_TYPE presence ::ENTRIES_PER_BUCKET; uint8_t:hashes; void *:entries	TODO(architect): assign canonical Rust type
hashtable	hashtable	hashtable.c	306	10	hashtableType *:type; ssize_t:rehash_idx; bucket *:tables; size_t:used; int8_t:bucket_exp; ...	TODO(architect): assign canonical Rust type
position		hashtable.c	340	3	bucket *:bucket; uint16_t:pos_in_bucket; uint16_t:table_index	TODO(architect): assign canonical Rust type
hashtableStats	hashtableStats	hashtable.c	370	8	int:table_index; ssize_t:rehash_index; unsigned long:toplevel_buckets; unsigned long:child_buckets; unsigned long:size; ...	TODO(architect): assign canonical Rust type
scan_samples		hashtable.c	384	3	unsigned:size; unsigned:seen; void **:entries	TODO(architect): assign canonical Rust type
hashtableType		hashtable.h	51	1	unsigned:instant_rehashing	TODO(architect): assign canonical Rust type
hllhdr	hllhdr	hyperloglog.c	199	5	char:magic; uint8_t:encoding; uint8_t:notused; uint8_t:card; uint8_t:registers	TODO(architect): assign canonical Rust type
intset	intset	intset.h	35	3	uint32_t:encoding; uint32_t:length; int8_t:contents	(internal — see redis-ds/intset.rs)
_kvstore	_kvstore	kvstore.c	55	16	int:flags; hashtableType *:dtype; hashtable **:hashtables; int:num_hashtables; int:num_hashtables_bits; ...	TODO(architect): assign canonical Rust type
_kvstoreIterator	_kvstoreIterator	kvstore.c	76	6	kvstore *:kvs; long long:didx; long long:next_didx; hashtableIterator:di; uint8_t:flags; ...	TODO(architect): assign canonical Rust type
_kvstoreHashtableIterator	_kvstoreHashtableIterator	kvstore.c	86	3	kvstore *:kvs; long long:didx; hashtableIterator:di	TODO(architect): assign canonical Rust type
kvstoreHashtableMetadata		kvstore.c	93	2	listNode *:rehashing_node; kvstore *:kvs	TODO(architect): assign canonical Rust type
